,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,Month,year
973,14,49248.0,86508.0,0.0,0.0,650.0,0.0,17453.9,9,1950
974,22,22879.56,38749.56,0.0,0.0,827.5,0.0,0.0,5,1958
975,2,54648.0,77856.0,0.0,0.0,3929.59,0.0,23270.64,8,1963
976,10,41640.0,77832.0,1837.48,0.0,734.0,0.0,1769.64,11,1958
977,18,28080.0,52920.0,0.0,0.0,300.0,0.0,0.0,10,1989
978,8,85188.0,150792.0,0.0,0.0,25642.06,0.0,7017.93,10,1963
979,14,59076.0,131088.0,0.0,0.0,12918.0,0.0,9329.16,5,1985
980,9,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,6,1966
981,10,59076.0,131088.0,0.0,0.0,280.0,0.0,700.0,7,1972
982,20,49512.0,66192.0,0.0,0.0,964.33,0.0,0.0,3,1976
983,9,22879.56,38749.56,0.0,0.0,1068.0,0.0,0.0,6,1957
984,10,22879.56,38749.56,0.0,0.0,2587.0,0.0,0.0,3,1951
985,10,62484.0,79848.0,7734.22,0.0,5067.21,0.0,23510.64,3,1978
986,8,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,3,1985
987,6,22879.56,38749.56,0.0,0.0,1285.9,0.0,0.0,8,1957
988,12,22879.56,38749.56,0.0,0.0,4658.2,0.0,0.0,6,1986
989,11,22879.56,38749.56,0.0,0.0,7315.85,0.0,0.0,5,1955
990,9,26928.0,38172.0,0.0,0.0,0.0,0.0,0.0,6,1979
991,16,49512.0,66192.0,0.0,0.0,2182.4,0.0,29.88,7,1975
992,4,46764.0,82152.0,0.0,0.0,650.0,0.0,9237.72,1,1974
993,2,49512.0,66192.0,0.0,0.0,1594.41,0.0,89.64,4,1984
994,13,52464.0,125736.0,0.0,0.0,650.0,0.0,9319.08,3,1976
995,19,26772.0,50172.0,0.0,0.0,8650.05,0.0,3094.05,12,1969
996,14,56184.0,86820.0,15326.58,0.0,5461.74,0.0,9015.84,8,1953
997,16,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,5,1959
998,2,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,7,1965
999,6,22879.56,38749.56,0.0,0.0,831.25,0.0,0.0,10,1985
1000,18,22879.56,38749.56,0.0,0.0,1126.25,0.0,0.0,3,1953
1001,0,49512.0,66192.0,0.0,0.0,1293.33,0.0,0.0,9,1973
1002,20,22879.56,38749.56,0.0,0.0,1018.5,0.0,0.0,10,1975
1003,15,85188.0,150792.0,0.0,0.0,37336.8,0.0,23270.64,7,1979
1004,14,22879.56,38749.56,0.0,0.0,434.5,0.0,0.0,11,1955
1005,18,31200.0,48888.0,2246.6,0.0,294.4,0.0,1377.0,2,1959
1006,8,85188.0,150792.0,0.0,0.0,2405.0,0.0,89.64,8,1976
1007,6,22879.56,38749.56,0.0,0.0,2656.5,0.0,0.0,4,1966
1008,2,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,10,1988
1009,20,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,11,1971
1010,12,85188.0,150792.0,0.0,0.0,5453.3,0.0,0.0,3,1958
1011,0,14496.0,38028.0,0.0,0.0,11259.6,0.0,0.0,12,1964
1012,18,28152.0,66204.0,0.0,0.0,0.0,0.0,0.0,3,1984
1013,20,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,9,1981
1014,9,32520.0,57156.0,0.0,0.0,650.0,0.0,9237.72,5,1976
1015,20,23587.2,324000.0,0.0,0.0,1440.0,0.0,0.0,9,1985
1016,6,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,11,1951
1017,6,59076.0,131088.0,0.0,0.0,6152.4,0.0,16978.68,5,1974
1018,18,22879.56,38749.56,0.0,0.0,1627.6,0.0,0.0,5,1988
1019,18,22879.56,38749.56,0.0,0.0,138.0,0.0,0.0,11,1963
1020,13,22879.56,38749.56,0.0,0.0,6776.25,0.0,0.0,8,1978
1021,6,59076.0,131088.0,0.0,0.0,5323.69,0.0,17631.72,5,1966
1022,23,22879.56,38749.56,0.0,0.0,4136.0,0.0,0.0,12,1962
1023,13,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,11,1973
1024,2,22879.56,38749.56,0.0,0.0,4059.0,0.0,0.0,7,1987
1025,9,85188.0,150792.0,0.0,0.0,0.0,0.0,9229.44,7,1974
1026,4,22879.56,38749.56,0.0,0.0,1770.45,0.0,0.0,5,1975
1027,18,132.0,2880.0,0.0,0.0,26634.0,0.0,0.0,3,1970
1028,6,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,4,1977
1029,2,22879.56,38749.56,0.0,0.0,2739.0,0.0,0.0,6,1953
1030,6,30024.0,108996.0,0.0,0.0,396.0,0.0,17631.72,10,1958
1031,2,22879.56,38749.56,0.0,0.0,1452.0,0.0,0.0,5,1978
1032,15,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,2,1985
1033,20,34152.84,333105.48,0.0,0.0,465.37,0.0,0.0,6,1950
1034,11,30048.0,68196.0,0.0,0.0,0.0,0.0,9237.72,9,1955
1035,1,85188.0,150792.0,0.0,0.0,8885.0,0.0,0.0,4,1965
1036,1,44652.0,78444.0,1095.83,0.0,650.0,0.0,9319.08,12,1954
1037,15,22879.56,38749.56,0.0,0.0,466.7,0.0,0.0,2,1968
1038,12,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,8,1979
1039,9,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,7,1966
1040,12,22879.56,38749.56,0.0,0.0,1100.0,0.0,0.0,9,1975
1041,6,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,1,1972
1042,10,52464.0,125736.0,0.0,709.85,650.0,0.0,4626.33,4,1950
1043,11,39456.0,73944.0,0.0,0.0,0.0,0.0,0.0,8,1967
1044,22,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,10,1984
1045,0,59076.0,131088.0,0.0,0.0,120.0,0.0,23270.64,9,1978
1046,8,34152.0,59976.0,0.0,0.0,2379.92,0.0,17631.72,10,1982
1047,10,22879.56,38749.56,0.0,0.0,1345.0,0.0,0.0,3,1957
1048,5,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,11,1966
1049,18,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,3,1953
1050,19,22879.56,38749.56,0.0,0.0,3301.0,0.0,0.0,7,1961
1051,6,49512.0,150792.0,0.0,0.0,0.0,0.0,2174.55,5,1981
1052,6,22879.56,38749.56,0.0,0.0,946.0,0.0,0.0,4,1971
1053,1,34152.0,59976.0,289.5,0.0,578.68,0.0,17631.72,8,1971
1054,15,23587.2,324000.0,0.0,0.0,720.0,0.0,0.0,8,1973
1055,10,56316.0,98904.0,0.0,0.0,650.0,0.0,8998.68,6,1983
1056,22,22879.56,38749.56,0.0,0.0,2033.03,0.0,0.0,3,1987
1057,22,22879.56,38749.56,0.0,0.0,1635.76,0.0,0.0,3,1954
1058,14,22879.56,38749.56,0.0,0.0,0.0,0.0,0.0,10,1969
1059,23,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,5,1988
1060,6,28152.0,66204.0,0.0,0.0,0.0,0.0,6693.3,2,1966
1061,7,49512.0,66192.0,0.0,0.0,173.28,0.0,-3936.19,1,1954
